     Datum,        Gewinnzahlen,,,,,,Super6
17.04.2021,48,26,22,25,36,18,0
21.04.2021,1,47,18,27,37,24,0
24.04.2021,48,1,24,25,4,34,1
28.04.2021,12,46,13,31,21,23,0
01.05.2021,43,42,15,37,21,1,1
05.05.2021,5,21,10,15,6,4,8
08.05.2021,42,22,10,47,23,13,2
12.05.2021,34,42,2,1,18,44,6
15.05.2021,15,5,2,25,26,41,1
19.05.2021,7,14,38,45,5,25,4
22.05.2021,38,40,8,17,3,43,2
26.05.2021,34,44,46,2,35,23,7
29.05.2021,44,16,9,45,10,46,8
02.06.2021,14,15,35,10,45,39,0
05.06.2021,5,35,31,47,14,44,1
09.06.2021,7,41,22,17,49,1,3
12.06.2021,23,49,5,1,29,11,0
16.06.2021,37,44,22,1,25,28,7
19.06.2021,29,11,36,19,21,35,2
23.06.2021,5,9,46,20,33,6,5
26.06.2021,29,19,17,45,24,13,0
30.06.2021,47,32,15,4,10,27,8
03.07.2021,49,18,10,9,20,5,2
07.07.2021,8,43,31,29,23,2,9
10.07.2021,40,25,47,2,8,32,6
14.07.2021,15,49,26,33,1,12,6
17.07.2021,38,17,25,49,33,30,9
21.07.2021,7,39,8,18,48,38,2
24.07.2021,3,14,22,23,45,8,3
28.07.2021,19,31,11,8,10,47,3
31.07.2021,4,8,26,24,1,39,5
04.08.2021,3,1,6,30,5,41,2
07.08.2021,18,19,30,9,14,40,3
11.08.2021,46,49,34,6,12,22,1
14.08.2021,29,19,2,17,48,39,1
18.08.2021,25,7,48,43,22,27,6
21.08.2021,16,23,19,15,12,7,0
25.08.2021,24,12,11,9,6,33,7
28.08.2021,11,46,24,25,18,41,7
01.09.2021,39,5,49,16,48,3,0
04.09.2021,20,5,44,2,15,39,7
08.09.2021,23,30,13,44,41,21,3
11.09.2021,25,43,33,34,23,6,7
15.09.2021,27,21,41,8,37,40,5
18.09.2021,21,36,9,49,6,34,2
22.09.2021,21,31,13,5,3,22,7
25.09.2021,20,41,47,30,27,19,7
29.09.2021,14,16,43,11,36,31,4
02.10.2021,15,46,10,43,4,7,4
06.10.2021,10,29,27,8,40,3,2
09.10.2021,8,11,47,17,49,1,3
13.10.2021,35,4,7,31,10,18,5
16.10.2021,34,27,7,21,29,20,6
20.10.2021,37,16,15,43,24,7,5
23.10.2021,22,26,1,19,10,28,2
27.10.2021,20,25,16,45,21,1,6
30.10.2021,15,45,6,31,11,42,4
03.11.2021,13,44,14,49,10,28,0
06.11.2021,31,41,44,6,27,9,9
10.11.2021,15,16,32,8,6,22,7
13.11.2021,10,4,25,6,3,42,0
17.11.2021,28,25,21,47,15,5,9
20.11.2021,31,24,26,40,8,47,7
24.11.2021,2,9,25,24,19,5,7
27.11.2021,36,15,29,14,37,7,3
01.12.2021,49,8,5,34,12,13,7
04.12.2021,46,1,31,40,44,9,7
08.12.2021,16,15,18,44,26,39,5
11.12.2021,49,46,40,23,9,1,0
15.12.2021,26,10,17,4,28,5,2
18.12.2021,46,10,16,28,43,25,8
22.12.2021,33,13,48,37,40,46,6
25.12.2021,14,42,46,15,27,41,7
29.12.2021,31,20,14,46,6,10,0
01.01.2022,10,13,16,14,24,15,2
05.01.2022,32,7,6,4,41,2,0
08.01.2022,32,38,17,2,30,19,9
12.01.2022,32,38,10,48,16,33,4
15.01.2022,34,43,48,49,5,42,9
19.01.2022,43,45,19,48,49,17,4
22.01.2022,7,46,5,49,13,9,5
26.01.2022,23,19,41,8,3,15,6
29.01.2022,15,24,3,26,17,2,7
02.02.2022,20,33,44,28,40,27,1
05.02.2022,39,19,45,4,17,26,3
09.02.2022,16,33,26,32,45,25,3
12.02.2022,39,2,13,17,31,48,6
16.02.2022,43,30,29,16,7,33,4
19.02.2022,24,10,45,27,3,2,3
23.02.2022,15,11,47,24,7,5,2
26.02.2022,43,49,45,33,16,6,7
02.03.2022,39,44,49,15,5,3,7
05.03.2022,28,26,10,25,22,41,0
09.03.2022,36,18,19,38,28,8,4
12.03.2022,32,9,35,36,1,20,1
16.03.2022,19,6,1,16,8,40,0
19.03.2022,17,5,1,28,26,41,5
23.03.2022,43,15,3,12,30,39,8
26.03.2022,46,19,14,48,16,45,4
30.03.2022,34,27,41,12,13,6,3
02.04.2022,40,14,46,38,49,37,2
06.04.2022,29,24,31,22,19,2,6
09.04.2022,33,17,27,45,5,43,6
13.04.2022,2,42,22,7,29,46,2
16.04.2022,14,44,8,19,24,7,4
20.04.2022,35,10,20,16,19,44,3
23.04.2022,47,32,29,13,34,38,6
27.04.2022,25,3,17,19,46,40,8
30.04.2022,25,14,48,20,44,2,1
04.05.2022,3,49,11,31,41,4,2
07.05.2022,5,14,43,35,34,26,2
11.05.2022,25,28,27,24,45,2,4
14.05.2022,49,37,25,34,39,30,9
18.05.2022,8,10,41,25,45,43,6
21.05.2022,19,3,44,1,4,30,4
25.05.2022,45,5,15,28,32,1,5
28.05.2022,10,20,4,1,25,36,1
01.06.2022,32,48,2,4,9,42,9
04.06.2022,42,6,33,11,23,34,4
08.06.2022,4,11,34,48,1,33,1
11.06.2022,25,11,17,44,22,29,8
15.06.2022,21,30,29,44,11,47,0
18.06.2022,18,37,23,45,26,46,2
22.06.2022,34,46,23,7,36,29,5
25.06.2022,33,4,21,43,2,28,5
29.06.2022,48,45,24,21,22,40,8
02.07.2022,20,7,37,45,8,9,7
06.07.2022,38,47,41,48,1,26,6
09.07.2022,19,4,23,40,41,43,6
13.07.2022,47,29,45,11,30,10,8
16.07.2022,22,23,17,15,26,20,8
20.07.2022,36,42,49,43,2,3,2
23.07.2022,47,13,49,7,35,6,3
27.07.2022,29,23,46,16,28,1,0
30.07.2022,33,19,27,34,25,8,6
03.08.2022,40,13,21,43,11,5,9
06.08.2022,1,30,27,8,46,16,7
10.08.2022,24,10,18,22,27,26,2
13.08.2022,36,6,28,16,20,7,6
17.08.2022,17,1,44,34,29,46,0
20.08.2022,26,19,40,36,32,12,1
24.08.2022,26,40,34,7,15,49,6
27.08.2022,18,16,7,46,32,39,5
31.08.2022,37,18,11,24,5,1,7
03.09.2022,43,3,36,39,6,49,2
07.09.2022,40,11,41,14,16,8,3
10.09.2022,42,2,12,26,1,13,9
14.09.2022,48,39,11,16,9,2,5
17.09.2022,37,2,46,6,18,3,5
21.09.2022,36,8,30,48,7,24,8
24.09.2022,10,6,15,41,12,13,5
28.09.2022,33,12,13,44,49,4,6
01.10.2022,49,43,19,1,3,37,0
05.10.2022,49,37,9,38,10,17,5
08.10.2022,8,15,38,49,7,36,7
12.10.2022,48,26,16,35,49,21,2
15.10.2022,37,48,11,29,32,43,7
19.10.2022,40,36,23,1,15,49,2
22.10.2022,31,4,14,1,46,24,1
26.10.2022,32,46,16,21,23,24,1
29.10.2022,11,20,9,5,13,34,7
02.11.2022,9,48,17,16,15,21,1
05.11.2022,39,12,42,27,35,32,8
09.11.2022,49,32,2,16,47,29,5
12.11.2022,47,12,14,7,21,4,6
16.11.2022,9,37,1,35,11,30,8
19.11.2022,34,13,4,42,21,20,0
23.11.2022,31,29,22,25,1,49,0
26.11.2022,32,48,11,31,34,24,2
30.11.2022,32,1,10,43,2,42,8
03.12.2022,42,10,45,29,4,41,7
07.12.2022,4,14,16,39,30,37,8
10.12.2022,23,26,3,17,5,31,8
14.12.2022,32,46,43,10,30,48,3
17.12.2022,44,3,37,42,1,45,3
21.12.2022,22,49,24,2,42,47,1
24.12.2022,29,37,18,7,41,28,3
28.12.2022,29,4,14,27,17,42,3
31.12.2022,46,16,18,4,13,32,8
04.01.2023,31,47,29,37,34,19,0
07.01.2023,10,18,26,40,11,20,2
11.01.2023,25,21,17,24,48,32,5
14.01.2023,12,38,24,6,42,43,3
18.01.2023,21,46,8,25,1,37,9
21.01.2023,43,45,19,4,44,24,7
25.01.2023,25,37,11,12,6,20,2
28.01.2023,5,38,20,30,14,44,8
01.02.2023,34,36,20,49,6,40,5
04.02.2023,29,33,31,35,37,34,8
08.02.2023,44,14,8,17,21,39,9
11.02.2023,30,12,11,19,28,9,3
15.02.2023,45,37,33,19,22,26,6
18.02.2023,40,43,28,49,7,36,8
22.02.2023,46,9,4,27,6,44,8
25.02.2023,23,5,48,26,12,33,4
01.03.2023,8,21,28,14,47,23,9
04.03.2023,21,1,8,45,48,7,0
08.03.2023,32,25,43,26,23,5,2
11.03.2023,17,20,23,32,22,27,7
15.03.2023,39,17,34,44,3,19,8
18.03.2023,27,3,23,5,44,9,9
22.03.2023,28,19,33,35,38,40,3
25.03.2023,21,16,15,36,35,10,5
29.03.2023,48,37,40,2,43,19,5
01.04.2023,28,45,36,42,33,27,9
05.04.2023,29,6,41,47,4,15,5
08.04.2023,26,49,40,2,16,34,3
12.04.2023,20,7,34,33,44,28,8
15.04.2023,33,43,22,12,7,34,1
19.04.2023,14,3,16,36,31,18,6
22.04.2023,41,48,26,21,34,13,7
26.04.2023,25,3,1,49,41,18,7
29.04.2023,13,24,14,40,9,23,0
03.05.2023,15,47,42,14,16,37,1
06.05.2023,7,47,18,19,9,31,9
10.05.2023,14,49,23,10,44,25,8
13.05.2023,12,26,39,28,4,1,1
17.05.2023,26,36,31,45,2,29,6
20.05.2023,42,33,24,34,5,6,3
24.05.2023,6,7,9,43,1,16,5
27.05.2023,3,18,7,28,34,12,4
31.05.2023,35,45,22,30,39,41,6
03.06.2023,1,18,4,23,30,6,0
07.06.2023,49,17,40,30,19,33,6
10.06.2023,12,30,37,16,24,28,0
14.06.2023,15,12,21,44,17,29,5
17.06.2023,2,19,22,15,32,43,4
21.06.2023,22,47,43,12,6,19,6
24.06.2023,24,26,31,43,42,4,4
28.06.2023,28,5,18,30,37,34,1
01.07.2023,18,27,24,13,38,43,3
05.07.2023,44,34,23,20,2,16,3
08.07.2023,25,3,44,37,29,14,0
12.07.2023,30,21,7,9,2,19,2
15.07.2023,6,30,17,11,8,39,1
19.07.2023,32,34,4,33,19,25,4
22.07.2023,2,41,15,40,31,37,3
26.07.2023,7,32,23,45,21,35,3
29.07.2023,33,10,3,41,45,19,6
02.08.2023,29,23,21,30,7,44,4
05.08.2023,35,49,42,4,23,22,4
09.08.2023,33,35,37,29,16,24,7
12.08.2023,40,19,43,24,20,33,3
16.08.2023,26,14,4,5,19,41,8
19.08.2023,22,36,17,10,37,31,6
23.08.2023,9,10,45,28,13,26,6
26.08.2023,36,37,7,12,42,39,2
30.08.2023,23,42,48,32,46,43,1
02.09.2023,25,47,22,27,28,34,0
06.09.2023,6,3,8,47,20,13,2
09.09.2023,42,28,48,2,25,22,5
13.09.2023,28,41,15,18,27,14,3
16.09.2023,32,30,19,36,41,46,2
20.09.2023,21,33,18,3,42,24,2
23.09.2023,33,11,39,32,17,12,3
27.09.2023,19,40,9,22,41,2,8
30.09.2023,45,42,17,20,36,1,0
04.10.2023,28,38,18,19,46,43,9
07.10.2023,23,32,11,22,42,14,0
11.10.2023,42,30,3,25,16,31,3
14.10.2023,35,31,10,22,8,29,7
18.10.2023,31,16,15,47,42,45,2
21.10.2023,10,14,37,33,3,9,9
25.10.2023,25,31,49,10,4,1,7
28.10.2023,1,5,26,38,32,7,3
01.11.2023,33,26,49,8,20,43,5
04.11.2023,16,27,20,6,23,1,4
08.11.2023,12,39,48,1,18,34,8
11.11.2023,9,45,40,25,26,49,7
15.11.2023,13,22,8,14,25,29,1
18.11.2023,10,28,38,18,27,23,4
22.11.2023,30,20,3,41,4,25,9
25.11.2023,3,27,35,38,32,47,5
29.11.2023,45,3,25,29,49,22,7
02.12.2023,35,10,24,47,29,36,4
06.12.2023,43,42,45,15,2,27,1
09.12.2023,16,38,48,21,30,42,9
13.12.2023,10,31,11,39,22,27,1
16.12.2023,48,2,7,22,12,31,3
20.12.2023,25,31,44,17,4,18,9
23.12.2023,12,17,8,1,22,4,2
27.12.2023,17,44,33,41,6,9,9
30.12.2023,4,48,41,47,44,26,7
03.01.2024,36,14,32,49,28,25,4
06.01.2024,18,14,34,47,5,3,7
10.01.2024,37,3,7,24,21,49,9
13.01.2024,6,48,27,1,8,26,6
17.01.2024,13,44,6,40,30,9,6
20.01.2024,8,49,45,1,25,11,4
24.01.2024,35,29,9,10,39,19,1
27.01.2024,24,20,29,33,43,14,4
31.01.2024,29,24,40,11,43,28,7
03.02.2024,24,14,23,19,21,3,5
07.02.2024,1,8,31,15,19,26,0
10.02.2024,37,47,1,33,19,39,6
14.02.2024,34,48,17,35,46,43,4
17.02.2024,23,31,36,8,34,40,0
21.02.2024,33,7,8,23,30,40,3
24.02.2024,2,21,49,40,28,34,2
28.02.2024,4,28,22,1,37,26,3
02.03.2024,26,6,8,33,37,18,2
06.03.2024,17,23,40,8,42,11,3
09.03.2024,41,20,1,48,5,10,8
13.03.2024,10,11,29,39,31,18,5
16.03.2024,16,40,19,5,25,48,3
20.03.2024,40,9,7,45,24,16,8
23.03.2024,40,21,32,4,38,1,7
27.03.2024,41,32,44,20,2,13,2
30.03.2024,27,16,21,10,5,33,0
03.04.2024,35,29,31,36,2,3,9
06.04.2024,41,7,13,11,35,20,0
10.04.2024,7,49,13,8,43,47,2
13.04.2024,33,47,3,32,10,6,0
17.04.2024,37,34,16,47,40,9,2
20.04.2024,44,7,49,28,35,17,3
24.04.2024,15,19,25,29,13,12,7
27.04.2024,27,8,46,48,43,45,0
01.05.2024,41,36,31,37,26,6,1
04.05.2024,47,29,10,38,9,27,1
08.05.2024,31,3,40,23,30,27,8
